league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,season_start,stat_type
ENG-Premier League,2019/20,Arsenal,Ainsley Maitland-Niles,ENG,DF,21,1997,20,15,1386,15.4,0,2,2,0,0,0,6,1,0.0,0.13,0.13,0.0,0.13,2019,standard
ENG-Premier League,2019/20,Arsenal,Alexandre Lacazette,FRA,FW,28,1991,30,22,1874,20.8,10,4,14,10,0,0,8,0,0.48,0.19,0.67,0.48,0.67,2019,standard
ENG-Premier League,2019/20,Arsenal,Bernd Leno,GER,GK,27,1992,30,30,2649,29.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2019,standard
ENG-Premier League,2019/20,Arsenal,Bukayo Saka,ENG,"MF,DF",17,2001,26,19,1753,19.5,1,5,6,1,0,0,6,0,0.05,0.26,0.31,0.05,0.31,2019,standard
ENG-Premier League,2019/20,Arsenal,Calum Chambers,ENG,DF,24,1995,14,13,1102,12.2,1,1,2,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,2019,standard
ENG-Premier League,2019/20,Arsenal,Cédric Soares,POR,MF,27,1991,5,3,249,2.8,1,0,1,1,0,0,0,0,0.36,0.0,0.36,0.36,0.36,2019,standard
ENG-Premier League,2019/20,Arsenal,Dani Ceballos,ESP,MF,22,1996,24,18,1692,18.8,0,2,2,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,2019,standard
ENG-Premier League,2019/20,Arsenal,David Luiz,BRA,DF,32,1987,33,32,2809,31.2,2,1,3,2,0,0,5,2,0.06,0.03,0.1,0.06,0.1,2019,standard
ENG-Premier League,2019/20,Arsenal,Eddie Nketiah,ENG,FW,20,1999,13,7,633,7.0,2,0,2,2,0,0,0,1,0.28,0.0,0.28,0.28,0.28,2019,standard
ENG-Premier League,2019/20,Arsenal,Emile Smith Rowe,ENG,MF,19,2000,2,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2019,standard
ENG-Premier League,2019/20,Arsenal,Emiliano Martínez,ARG,GK,26,1992,9,8,771,8.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2019,standard
ENG-Premier League,2019/20,Arsenal,Gabriel Martinelli,BRA,MF,18,2001,14,6,663,7.4,3,0,3,3,0,0,1,0,0.41,0.0,0.41,0.41,0.41,2019,standard
ENG-Premier League,2019/20,Arsenal,Granit Xhaka,SUI,MF,26,1992,31,30,2586,28.7,1,2,3,1,0,0,10,0,0.03,0.07,0.1,0.03,0.1,2019,standard
ENG-Premier League,2019/20,Arsenal,Henrikh Mkhitaryan,ARM,MF,30,1989,3,1,112,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2019,standard
ENG-Premier League,2019/20,Arsenal,Héctor Bellerín,ESP,"DF,MF",24,1995,15,13,1158,12.9,1,0,1,1,0,0,2,0,0.08,0.0,0.08,0.08,0.08,2019,standard
ENG-Premier League,2019/20,Arsenal,Joe Willock,ENG,MF,19,1999,29,8,857,9.5,1,1,2,1,0,0,2,0,0.11,0.11,0.21,0.11,0.21,2019,standard
ENG-Premier League,2019/20,Arsenal,Kieran Tierney,SCO,"DF,MF",22,1997,15,12,989,11.0,1,1,2,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,2019,standard
ENG-Premier League,2019/20,Arsenal,Lucas Torreira,URU,MF,23,1996,29,17,1512,16.8,1,1,2,1,0,0,7,0,0.06,0.06,0.12,0.06,0.12,2019,standard
ENG-Premier League,2019/20,Arsenal,Mattéo Guendouzi,FRA,MF,20,1999,24,19,1748,19.4,0,1,1,0,0,0,6,0,0.0,0.05,0.05,0.0,0.05,2019,standard
ENG-Premier League,2019/20,Arsenal,Mesut Özil,GER,MF,30,1988,18,18,1438,16.0,1,2,3,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,2019,standard
ENG-Premier League,2019/20,Arsenal,Nacho Monreal,ESP,DF,33,1986,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2019,standard
ENG-Premier League,2019/20,Arsenal,Nicolas Pépé,CIV,"MF,FW",24,1995,31,22,2010,22.3,5,6,11,4,1,1,4,0,0.22,0.27,0.49,0.18,0.45,2019,standard
ENG-Premier League,2019/20,Arsenal,Pablo Marí,ESP,DF,25,1993,2,2,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2019,standard
ENG-Premier League,2019/20,Arsenal,Pierre-Emerick Aubameyang,GAB,"FW,MF",30,1989,36,35,3136,34.8,22,3,25,20,2,2,3,1,0.63,0.09,0.72,0.57,0.66,2019,standard
ENG-Premier League,2019/20,Arsenal,Reiss Nelson,ENG,"MF,FW",19,1999,17,7,631,7.0,1,0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,2019,standard
ENG-Premier League,2019/20,Arsenal,Rob Holding,ENG,DF,23,1995,8,6,581,6.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2019,standard
ENG-Premier League,2019/20,Arsenal,Sead Kolašinac,BIH,DF,26,1993,26,19,1701,18.9,0,2,2,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11,2019,standard
ENG-Premier League,2019/20,Arsenal,Shkodran Mustafi,GER,DF,27,1992,15,13,1207,13.4,0,1,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,2019,standard
ENG-Premier League,2019/20,Arsenal,Sokratis Papastathopoulos,GRE,DF,31,1988,19,19,1696,18.8,2,0,2,2,0,0,6,0,0.11,0.0,0.11,0.11,0.11,2019,standard
