league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,season_start,stat_type
ENG-Premier League,2019/20,Brighton,Leandro Trossard,BEL,"MF,FW",24,1994,22.3,5,41,12,29.3,1.83,0.54,0.12,0.42,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Lewis Dunk,ENG,DF,27,1991,35.9,3,31,10,32.3,0.86,0.28,0.1,0.3,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Martín Montoya,ESP,"DF,MF",28,1991,21.1,0,8,3,37.5,0.38,0.14,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Mathew Ryan,AUS,GK,27,1992,38.0,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Neal Maupay,FRA,FW,22,1996,30.7,10,96,38,39.6,3.12,1.24,0.1,0.26,1,2,2019,shooting
ENG-Premier League,2019/20,Brighton,Pascal Groß,GER,"MF,FW",28,1991,20.0,2,29,8,27.6,1.45,0.4,0.07,0.25,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Shane Duffy,IRL,DF,27,1992,13.8,1,6,1,16.7,0.44,0.07,0.17,1.0,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Solly March,ENG,"MF,FW",25,1994,12.7,0,20,8,40.0,1.57,0.63,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Steven Alzate,COL,"MF,DF",20,1998,13.2,0,13,3,23.1,0.98,0.23,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Tariq Lamptey,GHA,"DF,MF",18,2000,6.5,0,2,0,0.0,0.31,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Yves Bissouma,MLI,MF,22,1996,14.0,1,16,7,43.8,1.14,0.5,0.06,0.14,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Aaron Lennon,ENG,MF,32,1987,5.5,0,1,0,0.0,0.18,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Ashley Barnes,ENG,FW,29,1989,15.0,6,40,12,30.0,2.66,0.8,0.15,0.5,1,1,2019,shooting
ENG-Premier League,2019/20,Burnley,Ashley Westwood,ENG,MF,29,1990,35.0,2,13,3,23.1,0.37,0.09,0.15,0.67,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Ben Mee,ENG,DF,29,1989,32.0,1,17,7,41.2,0.53,0.22,0.06,0.14,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Charlie Taylor,ENG,DF,25,1993,21.6,0,1,0,0.0,0.05,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Chris Wood,NZL,FW,27,1991,27.1,14,65,30,46.2,2.4,1.11,0.22,0.47,1,1,2019,shooting
ENG-Premier League,2019/20,Burnley,Danny Drinkwater,ENG,MF,29,1990,0.6,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Dwight McNeil,ENG,MF,19,1999,37.1,2,48,14,29.2,1.29,0.38,0.04,0.14,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Erik Pieters,NED,"DF,MF",30,1988,20.9,0,14,3,21.4,0.67,0.14,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Jack Cork,ENG,MF,30,1989,29.0,0,18,6,33.3,0.62,0.21,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,James Tarkowski,ENG,DF,26,1992,38.0,2,21,5,23.8,0.55,0.13,0.1,0.4,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Jay Rodriguez,ENG,FW,30,1989,22.4,8,67,30,44.8,2.99,1.34,0.12,0.27,1,1,2019,shooting
ENG-Premier League,2019/20,Burnley,Jeff Hendrick,IRL,MF,27,1992,21.5,2,22,6,27.3,1.03,0.28,0.09,0.33,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Josh Brownhill,ENG,MF,23,1995,8.9,0,6,0,0.0,0.67,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Jóhann Berg Guðmundsson,ISL,MF,28,1990,6.9,1,11,2,18.2,1.59,0.29,0.09,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Kevin Long,IRL,DF,28,1990,6.3,0,2,0,0.0,0.32,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Matthew Lowton,ENG,DF,30,1989,17.0,0,1,0,0.0,0.06,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Matěj Vydra,CZE,FW,27,1992,9.1,2,18,10,55.6,1.98,1.1,0.11,0.2,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Max Thompson,ENG,FW,17,2002,0.0,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Nick Pope,ENG,GK,27,1992,38.0,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Phil Bardsley,SCO,DF,34,1985,21.0,0,12,5,41.7,0.57,0.24,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Burnley,Robbie Brady,IRL,MF,27,1992,5.0,1,12,1,8.3,2.38,0.2,0.08,1.0,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Andreas Christensen,DEN,DF,23,1996,19.5,0,7,2,28.6,0.36,0.1,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Antonio Rüdiger,GER,DF,26,1993,19.0,2,12,3,25.0,0.63,0.16,0.17,0.67,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Armando Broja,ALB,FW,17,2001,0.1,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Billy Gilmour,SCO,MF,18,2001,2.2,0,1,0,0.0,0.46,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Callum Hudson-Odoi,ENG,"MF,FW",18,2000,9.6,1,21,4,19.0,2.19,0.42,0.05,0.25,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Christian Pulisic,USA,"FW,MF",20,1998,19.1,9,63,26,41.3,3.29,1.36,0.14,0.35,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,César Azpilicueta,ESP,"DF,MF",29,1989,35.9,2,29,6,20.7,0.81,0.17,0.07,0.33,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Emerson Palmieri,ITA,"DF,MF",24,1994,11.4,0,13,7,53.8,1.14,0.62,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Faustino Anjorin,ENG,MF,17,2001,0.2,0,1,0,0.0,4.5,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Fikayo Tomori,ENG,DF,21,1997,14.3,1,7,3,42.9,0.49,0.21,0.14,0.33,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Jorginho,ITA,MF,27,1991,26.4,4,12,4,33.3,0.45,0.15,0.33,1.0,3,3,2019,shooting
ENG-Premier League,2019/20,Chelsea,Kepa Arrizabalaga,ESP,GK,24,1994,33.0,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Kurt Zouma,FRA,DF,24,1994,26.0,0,15,5,33.3,0.58,0.19,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Marcos Alonso,ESP,"DF,MF",28,1990,15.9,4,30,8,26.7,1.89,0.5,0.13,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Mason Mount,ENG,"MF,FW",20,1999,31.9,7,78,29,37.2,2.45,0.91,0.09,0.24,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Mateo Kovačić,CRO,MF,25,1994,23.0,1,21,5,23.8,0.91,0.22,0.05,0.2,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Michy Batshuayi,BEL,FW,25,1993,2.7,1,15,2,13.3,5.65,0.75,0.07,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,N'Golo Kanté,FRA,MF,28,1991,19.2,3,18,6,33.3,0.94,0.31,0.17,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Olivier Giroud,FRA,FW,32,1986,11.0,8,39,19,48.7,3.53,1.72,0.21,0.42,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Pedro,ESP,"MF,FW",32,1987,7.3,1,22,10,45.5,3.0,1.36,0.05,0.1,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Reece James,ENG,"DF,MF",19,1999,16.8,0,18,3,16.7,1.07,0.18,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Ross Barkley,ENG,MF,25,1993,12.3,1,40,12,30.0,3.26,0.98,0.03,0.08,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Ruben Loftus-Cheek,ENG,"MF,FW",23,1996,2.3,0,4,0,0.0,1.73,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Tammy Abraham,ENG,FW,21,1997,24.6,15,88,40,45.5,3.58,1.63,0.17,0.38,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Tariq Lamptey,GHA,"DF,MF",18,2000,0.4,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Chelsea,Willian,BRA,"FW,MF",30,1988,28.9,9,71,29,40.8,2.46,1.0,0.13,0.31,4,4,2019,shooting
ENG-Premier League,2019/20,Chelsea,Willy Caballero,ARG,GK,37,1981,5.0,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Crystal Palace,Andros Townsend,ENG,MF,28,1991,14.4,1,12,5,41.7,0.83,0.35,0.08,0.2,0,0,2019,shooting
ENG-Premier League,2019/20,Crystal Palace,Brandon Pierrick,ENG,MF,17,2001,0.2,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Crystal Palace,Cenk Tosun,TUR,FW,28,1991,2.0,1,4,2,50.0,2.03,1.02,0.25,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Crystal Palace,Cheikhou Kouyaté,SEN,MF,29,1989,28.1,1,24,4,16.7,0.85,0.14,0.04,0.25,0,0,2019,shooting
ENG-Premier League,2019/20,Crystal Palace,Christian Benteke,BEL,FW,28,1990,14.0,2,41,19,46.3,2.93,1.36,0.05,0.11,0,0,2019,shooting
ENG-Premier League,2019/20,Crystal Palace,Connor Wickham,ENG,"FW,MF",26,1993,1.1,1,3,2,66.7,2.81,1.87,0.33,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Crystal Palace,Gary Cahill,ENG,DF,33,1985,24.1,0,21,5,23.8,0.87,0.21,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Crystal Palace,James McArthur,SCO,MF,31,1987,34.3,0,28,6,21.4,0.82,0.17,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Crystal Palace,James McCarthy,IRL,MF,28,1990,18.7,0,12,3,25.0,0.64,0.16,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Crystal Palace,James Tomkins,ENG,DF,30,1989,17.6,1,9,3,33.3,0.51,0.17,0.11,0.33,0,0,2019,shooting
ENG-Premier League,2019/20,Crystal Palace,Jaïro Riedewald,NED,"DF,MF",22,1996,8.5,0,3,0,0.0,0.35,0.0,0.0,,0,0,2019,shooting
