league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,season_start,stat_type
ENG-Premier League,2019/20,Arsenal,Ainsley Maitland-Niles,ENG,DF,21,1997,15.4,0,4,1,25.0,0.26,0.06,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Alexandre Lacazette,FRA,FW,28,1991,20.8,10,53,26,49.1,2.55,1.25,0.19,0.38,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Bernd Leno,GER,GK,27,1992,29.4,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Bukayo Saka,ENG,"MF,DF",17,2001,19.5,1,13,4,30.8,0.67,0.21,0.08,0.25,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Calum Chambers,ENG,DF,24,1995,12.2,1,12,2,16.7,0.98,0.16,0.08,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Cédric Soares,POR,MF,27,1991,2.8,1,1,1,100.0,0.36,0.36,1.0,1.0,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Dani Ceballos,ESP,MF,22,1996,18.8,0,13,3,23.1,0.69,0.16,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,David Luiz,BRA,DF,32,1987,31.2,2,23,8,34.8,0.74,0.26,0.09,0.25,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Eddie Nketiah,ENG,FW,20,1999,7.0,2,15,5,33.3,2.13,0.71,0.13,0.4,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Emile Smith Rowe,ENG,MF,19,2000,1.1,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Emiliano Martínez,ARG,GK,26,1992,8.6,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Gabriel Martinelli,BRA,MF,18,2001,7.4,3,12,5,41.7,1.63,0.68,0.25,0.6,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Granit Xhaka,SUI,MF,26,1992,28.7,1,11,3,27.3,0.38,0.1,0.09,0.33,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Henrikh Mkhitaryan,ARM,MF,30,1989,1.2,0,2,0,0.0,1.61,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Héctor Bellerín,ESP,"DF,MF",24,1995,12.9,1,7,2,28.6,0.54,0.16,0.14,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Joe Willock,ENG,MF,19,1999,9.5,1,15,5,33.3,1.58,0.53,0.07,0.2,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Kieran Tierney,SCO,"DF,MF",22,1997,11.0,1,6,2,33.3,0.55,0.18,0.17,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Lucas Torreira,URU,MF,23,1996,16.8,1,21,6,28.6,1.25,0.36,0.05,0.17,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Mattéo Guendouzi,FRA,MF,20,1999,19.4,0,11,5,45.5,0.57,0.26,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Mesut Özil,GER,MF,30,1988,16.0,1,9,3,33.3,0.56,0.19,0.11,0.33,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Nacho Monreal,ESP,DF,33,1986,3.0,0,1,0,0.0,0.33,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Nicolas Pépé,CIV,"MF,FW",24,1995,22.3,5,50,18,36.0,2.24,0.81,0.1,0.28,1,1,2019,shooting
ENG-Premier League,2019/20,Arsenal,Pablo Marí,ESP,DF,25,1993,1.3,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Pierre-Emerick Aubameyang,GAB,"FW,MF",30,1989,34.8,22,93,42,45.2,2.67,1.21,0.24,0.52,2,2,2019,shooting
ENG-Premier League,2019/20,Arsenal,Reiss Nelson,ENG,"MF,FW",19,1999,7.0,1,11,4,36.4,1.57,0.57,0.09,0.25,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Rob Holding,ENG,DF,23,1995,6.5,0,2,0,0.0,0.31,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Sead Kolašinac,BIH,DF,26,1993,18.9,0,4,0,0.0,0.21,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Shkodran Mustafi,GER,DF,27,1992,13.4,0,11,4,36.4,0.82,0.3,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Arsenal,Sokratis Papastathopoulos,GRE,DF,31,1988,18.8,2,7,2,28.6,0.37,0.11,0.29,1.0,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Ahmed Elmohamady,EGY,DF,31,1987,11.5,1,5,1,20.0,0.44,0.09,0.2,1.0,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Anwar El Ghazi,NED,"FW,MF",24,1995,22.8,4,53,20,37.7,2.33,0.88,0.08,0.2,1,1,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Björn Engels,BEL,DF,24,1994,16.1,1,8,1,12.5,0.5,0.06,0.13,1.0,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Borja Bastón,ESP,FW,26,1992,0.2,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Conor Hourihane,IRL,MF,28,1991,17.0,3,29,10,34.5,1.7,0.59,0.1,0.3,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Danny Drinkwater,ENG,MF,29,1990,2.9,0,2,0,0.0,0.69,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Douglas Luiz,BRA,MF,21,1998,29.0,3,38,12,31.6,1.31,0.41,0.08,0.25,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Ezri Konsa,ENG,DF,21,1997,22.7,1,11,4,36.4,0.49,0.18,0.09,0.25,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Frederic Guilbert,FRA,"DF,MF",24,1994,22.7,0,8,3,37.5,0.35,0.13,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Henri Lansbury,ENG,MF,28,1990,2.2,0,2,0,0.0,0.92,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Indiana Vassilev,USA,"FW,MF",18,2001,0.6,0,1,0,0.0,1.76,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Jack Grealish,ENG,"FW,MF",23,1995,35.9,8,73,23,31.5,2.03,0.64,0.11,0.35,0,1,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Jed Steer,ENG,GK,26,1992,0.1,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,John McGinn,SCO,MF,24,1994,25.7,3,55,20,36.4,2.14,0.78,0.05,0.15,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Jonathan Kodjia,CIV,FW,29,1989,1.3,0,2,0,0.0,1.54,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Jota,ESP,"MF,FW",28,1991,3.7,0,6,1,16.7,1.61,0.27,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Keinan Davis,ENG,FW,21,1998,6.1,0,17,5,29.4,2.79,0.82,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Kortney Hause,ENG,DF,24,1995,17.2,1,20,3,15.0,1.17,0.17,0.05,0.33,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Marvelous Nakamba,ZIM,MF,25,1994,20.4,0,7,1,14.3,0.34,0.05,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Matt Targett,ENG,"DF,MF",23,1995,25.5,1,7,4,57.1,0.27,0.16,0.14,0.25,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Mbwana Samatta,TAN,FW,26,1992,10.5,1,17,3,17.6,1.62,0.29,0.06,0.33,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Neil Taylor,WAL,DF,30,1989,12.1,0,3,0,0.0,0.25,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Pepe Reina,ESP,GK,36,1982,12.0,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Tom Heaton,ENG,GK,33,1986,19.9,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Trézéguet,EGY,"FW,MF",24,1994,21.7,6,50,17,34.0,2.31,0.78,0.12,0.35,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Tyrone Mings,ENG,DF,26,1993,32.2,2,9,4,44.4,0.28,0.12,0.22,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Wesley Moraes,BRA,FW,22,1996,19.8,5,36,18,50.0,1.82,0.91,0.14,0.28,0,1,2019,shooting
ENG-Premier League,2019/20,Aston Villa,Ørjan Nyland,NOR,GK,28,1990,6.0,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Aaron Ramsdale,ENG,GK,21,1998,37.0,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Adam Smith,ENG,DF,28,1991,22.8,0,4,1,25.0,0.18,0.04,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Andrew Surman,ENG,MF,32,1986,2.6,0,1,0,0.0,0.38,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Arnaut Danjuma,NED,MF,22,1997,7.0,0,13,4,30.8,1.86,0.57,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Callum Wilson,ENG,FW,27,1992,32.3,8,54,21,38.9,1.67,0.65,0.15,0.38,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Charlie Daniels,ENG,DF,32,1986,1.4,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Chris Mepham,WAL,DF,21,1997,10.1,1,7,2,28.6,0.69,0.2,0.14,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Dan Gosling,ENG,MF,29,1990,14.0,3,13,6,46.2,0.93,0.43,0.23,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,David Brooks,WAL,MF,22,1997,5.6,1,6,2,33.3,1.07,0.36,0.17,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Diego Rico,ESP,DF,26,1993,25.9,0,11,3,27.3,0.42,0.12,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Dominic Solanke,ENG,FW,21,1997,18.3,3,32,8,25.0,1.74,0.44,0.09,0.38,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Harry Wilson,WAL,"MF,FW",22,1997,18.3,7,56,19,33.9,3.06,1.04,0.13,0.37,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Jack Simpson,ENG,DF,22,1996,2.7,0,1,0,0.0,0.37,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Jack Stacey,ENG,DF,23,1996,17.2,0,5,2,40.0,0.29,0.12,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Jefferson Lerma,COL,MF,24,1994,30.0,1,30,2,6.7,1.0,0.07,0.03,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Jordon Ibe,ENG,"FW,MF",23,1995,0.6,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Joshua King,NOR,"FW,MF",27,1992,22.3,6,26,13,50.0,1.16,0.58,0.23,0.46,3,3,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Junior Stanislas,ENG,"MF,DF",29,1989,7.9,3,17,7,41.2,2.15,0.88,0.18,0.43,1,1,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Lewis Cook,ENG,MF,22,1997,15.0,0,9,2,22.2,0.6,0.13,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Lloyd Kelly,ENG,DF,20,1998,7.1,0,1,0,0.0,0.14,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Mark Travers,IRL,GK,20,1999,1.0,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Nathan Aké,NED,DF,24,1995,27.8,2,25,7,28.0,0.9,0.25,0.08,0.29,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Philip Billing,DEN,MF,23,1996,28.1,1,33,8,24.2,1.17,0.28,0.03,0.13,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Ryan Fraser,SCO,"MF,FW",25,1994,23.0,1,27,12,44.4,1.18,0.52,0.04,0.08,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Sam Surridge,ENG,FW,21,1998,0.3,0,2,0,0.0,6.67,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Simon Francis,ENG,DF,34,1985,10.8,0,3,0,0.0,0.28,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Bournemouth,Steve Cook,ENG,DF,28,1991,27.0,1,12,2,16.7,0.44,0.07,0.08,0.5,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Aaron Connolly,IRL,FW,19,2000,14.0,3,36,13,36.1,2.58,0.93,0.08,0.23,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Aaron Mooy,AUS,"MF,FW",28,1990,23.2,2,33,8,24.2,1.42,0.35,0.06,0.25,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Adam Webster,ENG,DF,24,1995,29.6,3,16,7,43.8,0.54,0.24,0.19,0.43,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Alexis Mac Allister,ARG,"MF,FW",20,1998,3.9,0,7,1,14.3,1.79,0.26,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Alireza Jahanbakhsh,IRN,"MF,FW",25,1993,3.5,2,12,2,16.7,3.47,0.58,0.17,1.0,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Bernardo,BRA,"DF,MF",24,1995,7.5,0,7,2,28.6,0.93,0.27,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Dale Stephens,ENG,MF,30,1989,28.1,0,19,2,10.5,0.68,0.07,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Dan Burn,ENG,DF,27,1992,32.0,0,13,0,0.0,0.41,0.0,0.0,,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Davy Pröpper,NED,MF,27,1991,31.4,1,29,8,27.6,0.92,0.25,0.03,0.13,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Ezequiel Schelotto,ITA,"DF,MF",30,1989,4.0,0,4,1,25.0,1.0,0.25,0.0,0.0,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Florin Andone,ROU,FW,26,1993,0.8,1,1,1,100.0,1.23,1.23,1.0,1.0,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Gaëtan Bong,CMR,DF,31,1988,0.7,0,0,0,,0.0,0.0,,,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Glenn Murray,ENG,FW,35,1983,8.9,1,19,5,26.3,2.15,0.56,0.05,0.2,0,0,2019,shooting
ENG-Premier League,2019/20,Brighton,Jürgen Locadia,CUW,MF,25,1993,1.0,0,2,1,50.0,2.09,1.05,0.0,0.0,0,0,2019,shooting
