league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,season_start,stat_type
ENG-Premier League,2020/21,Burnley,Joel Mumbongo,SWE,FW,21,1999,4,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Burnley,Josh Benson,ENG,MF,20,1999,6,2,264,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Burnley,Josh Brownhill,ENG,MF,24,1995,33,32,2813,31.3,0,1,1,0,0,0,2,0,0.0,0.03,0.03,0.0,0.03,2020,standard
ENG-Premier League,2020/21,Burnley,Jóhann Berg Guðmundsson,ISL,MF,29,1990,22,16,1363,15.1,2,0,2,2,0,0,2,0,0.13,0.0,0.13,0.13,0.13,2020,standard
ENG-Premier League,2020/21,Burnley,Kevin Long,IRL,DF,29,1990,8,7,637,7.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Burnley,Lewis Richardson,ENG,"FW,MF",17,2003,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Burnley,Matthew Lowton,ENG,DF,31,1989,34,34,3060,34.0,1,1,2,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,2020,standard
ENG-Premier League,2020/21,Burnley,Matěj Vydra,CZE,FW,28,1992,28,15,1371,15.2,3,2,5,3,0,0,0,0,0.2,0.13,0.33,0.2,0.33,2020,standard
ENG-Premier League,2020/21,Burnley,Nick Pope,ENG,GK,28,1992,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Burnley,Phil Bardsley,SCO,DF,35,1985,4,3,274,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Burnley,Robbie Brady,IRL,MF,28,1992,19,12,1052,11.7,1,1,2,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,2020,standard
ENG-Premier League,2020/21,Burnley,Will Norris,ENG,GK,26,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Chelsea,Andreas Christensen,DEN,DF,24,1996,17,15,1371,15.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Chelsea,Antonio Rüdiger,GER,DF,27,1993,19,19,1710,19.0,1,0,1,1,0,0,0,0,0.05,0.0,0.05,0.05,0.05,2020,standard
ENG-Premier League,2020/21,Chelsea,Ben Chilwell,ENG,"DF,MF",23,1996,27,27,2286,25.4,3,5,8,3,0,0,3,0,0.12,0.2,0.31,0.12,0.31,2020,standard
ENG-Premier League,2020/21,Chelsea,Billy Gilmour,SCO,MF,19,2001,5,3,261,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Chelsea,Callum Hudson-Odoi,ENG,"MF,FW",19,2000,23,10,1059,11.8,2,3,5,2,0,0,0,0,0.17,0.25,0.42,0.17,0.42,2020,standard
ENG-Premier League,2020/21,Chelsea,Christian Pulisic,USA,"MF,FW",21,1998,27,18,1738,19.3,4,2,6,4,0,0,2,0,0.21,0.1,0.31,0.21,0.31,2020,standard
ENG-Premier League,2020/21,Chelsea,César Azpilicueta,ESP,"DF,MF",30,1989,26,24,2188,24.3,1,2,3,1,0,0,5,1,0.04,0.08,0.12,0.04,0.12,2020,standard
ENG-Premier League,2020/21,Chelsea,Emerson Palmieri,ITA,"DF,MF",25,1994,2,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Chelsea,Fikayo Tomori,ENG,DF,22,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Chelsea,Hakim Ziyech,MAR,"FW,MF",27,1993,23,15,1172,13.0,2,3,5,2,0,0,3,0,0.15,0.23,0.38,0.15,0.38,2020,standard
ENG-Premier League,2020/21,Chelsea,Jorginho,ITA,MF,28,1991,28,23,2010,22.3,7,1,8,0,7,9,2,0,0.31,0.04,0.36,0.0,0.04,2020,standard
ENG-Premier League,2020/21,Chelsea,Kai Havertz,GER,"MF,FW",21,1999,27,18,1520,16.9,4,3,7,4,0,0,2,0,0.24,0.18,0.41,0.24,0.41,2020,standard
ENG-Premier League,2020/21,Chelsea,Kepa Arrizabalaga,ESP,GK,25,1994,7,6,585,6.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Chelsea,Kurt Zouma,FRA,DF,25,1994,24,22,2029,22.5,5,0,5,5,0,0,3,0,0.22,0.0,0.22,0.22,0.22,2020,standard
ENG-Premier League,2020/21,Chelsea,Marcos Alonso,ESP,"MF,DF",29,1990,13,11,960,10.7,2,0,2,2,0,0,2,0,0.19,0.0,0.19,0.19,0.19,2020,standard
ENG-Premier League,2020/21,Chelsea,Mason Mount,ENG,MF,21,1999,36,32,2890,32.1,6,5,11,5,1,1,2,0,0.19,0.16,0.34,0.16,0.31,2020,standard
ENG-Premier League,2020/21,Chelsea,Mateo Kovačić,CRO,MF,26,1994,27,21,1815,20.2,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05,2020,standard
