league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,season_start,stat_type
ENG-Premier League,2018/19,Arsenal,Aaron Ramsey,WAL,MF,27,1990,14.8,4,33,14,42.4,2.23,0.95,0.12,0.29,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Ainsley Maitland-Niles,ENG,"MF,DF",20,1997,11.0,1,5,3,60.0,0.46,0.27,0.2,0.33,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Alex Iwobi,NGA,"MF,FW",22,1996,21.9,3,35,14,40.0,1.6,0.64,0.09,0.21,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Alexandre Lacazette,FRA,FW,27,1991,27.8,13,83,32,38.6,2.99,1.15,0.16,0.41,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Bernd Leno,GER,GK,26,1992,31.5,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Bukayo Saka,ENG,"FW,MF",16,2001,0.1,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Carl Jenkinson,ENG,MF,26,1992,1.8,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Danny Welbeck,ENG,MF,27,1990,1.7,1,4,2,50.0,2.35,1.18,0.25,0.5,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Denis Suárez,ESP,MF,24,1994,0.8,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Eddie Nketiah,ENG,FW,19,1999,0.7,1,3,1,33.3,4.03,1.34,0.33,1.0,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Granit Xhaka,SUI,MF,25,1992,27.8,4,29,12,41.4,1.04,0.43,0.14,0.33,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Henrikh Mkhitaryan,ARM,"MF,FW",29,1989,18.2,6,49,14,28.6,2.69,0.77,0.12,0.43,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Héctor Bellerín,ESP,"DF,MF",23,1995,17.0,0,18,4,22.2,1.06,0.23,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Joe Willock,ENG,MF,18,1999,0.7,0,2,0,0.0,2.81,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Konstantinos Mavropanos,GRE,DF,20,1997,1.6,0,2,0,0.0,1.22,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Laurent Koscielny,FRA,DF,32,1985,14.8,3,5,4,80.0,0.34,0.27,0.6,0.75,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Lucas Torreira,URU,MF,22,1996,26.5,2,25,6,24.0,0.94,0.23,0.08,0.33,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Mattéo Guendouzi,FRA,MF,19,1999,23.9,0,16,3,18.8,0.67,0.13,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Mesut Özil,GER,MF,29,1988,19.3,5,11,6,54.5,0.57,0.31,0.45,0.83,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Mohamed Elneny,EGY,MF,26,1992,4.2,0,7,0,0.0,1.66,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Nacho Monreal,ESP,DF,32,1986,20.7,1,9,4,44.4,0.44,0.19,0.11,0.25,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Petr Čech,CZE,GK,36,1982,6.5,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Pierre-Emerick Aubameyang,GAB,"FW,MF",29,1989,30.3,22,93,40,43.0,3.07,1.32,0.24,0.55,4,5,2018,shooting
ENG-Premier League,2018/19,Arsenal,Rob Holding,ENG,DF,22,1995,9.0,0,2,0,0.0,0.22,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Sead Kolašinac,BIH,"MF,DF",25,1993,21.0,0,9,2,22.2,0.43,0.1,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Shkodran Mustafi,GER,DF,26,1992,29.0,2,18,9,50.0,0.62,0.31,0.11,0.22,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Sokratis Papastathopoulos,GRE,DF,30,1988,24.4,1,11,2,18.2,0.45,0.08,0.09,0.5,0,0,2018,shooting
ENG-Premier League,2018/19,Arsenal,Stephan Lichtsteiner,SUI,DF,34,1984,10.4,0,1,0,0.0,0.1,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Adam Smith,ENG,"DF,MF",27,1991,23.0,1,7,1,14.3,0.3,0.04,0.14,1.0,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Andrew Surman,ENG,MF,31,1986,16.0,0,9,1,11.1,0.56,0.06,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Artur Boruc,POL,GK,38,1980,12.0,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Asmir Begović,BIH,GK,31,1987,24.0,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Callum Wilson,ENG,FW,26,1992,28.1,14,65,30,46.2,2.31,1.07,0.22,0.47,1,2,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Charlie Daniels,ENG,"DF,MF",31,1986,17.6,1,12,3,25.0,0.68,0.17,0.08,0.33,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Chris Mepham,WAL,DF,20,1997,9.4,0,2,0,0.0,0.21,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Dan Gosling,ENG,MF,28,1990,19.3,2,21,7,33.3,1.09,0.36,0.1,0.29,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,David Brooks,WAL,MF,21,1997,25.1,7,41,20,48.8,1.63,0.8,0.17,0.35,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Diego Rico,ESP,"DF,MF",25,1993,6.8,0,9,0,0.0,1.32,0.0,0.0,,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Dominic Solanke,ENG,FW,20,1997,3.9,0,11,3,27.3,2.85,0.78,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Emerson Hyndman,USA,MF,22,1996,0.4,0,0,0,,0.0,0.0,,,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Jack Simpson,ENG,DF,21,1996,4.5,0,2,1,50.0,0.45,0.22,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Jefferson Lerma,COL,MF,23,1994,27.8,2,31,8,25.8,1.11,0.29,0.06,0.25,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Jermain Defoe,ENG,FW,35,1982,0.3,0,1,1,100.0,3.6,3.6,0.0,0.0,0,0,2018,shooting
ENG-Premier League,2018/19,Bournemouth,Jordon Ibe,ENG,MF,22,1995,8.9,1,9,3,33.3,1.02,0.34,0.11,0.33,0,0,2018,shooting
