league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,season_start,stat_type
ENG-Premier League,2019/20,Arsenal,Ainsley Maitland-Niles,ENG,DF,21,1997,20,1386,69,40.5,15.4,15,87,14,5,17,8,1.7,22,21,1,0.06,-0.24,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Alexandre Lacazette,FRA,FW,28,1991,30,1874,62,54.8,20.8,22,79,9,8,16,4,1.3,36,25,11,0.53,0.7,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Bernd Leno,GER,GK,27,1992,30,2649,88,77.5,29.4,30,88,29,0,,0,1.33,40,39,1,0.03,-0.78,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Bukayo Saka,ENG,"MF,DF",17,2001,26,1753,67,51.3,19.5,19,80,10,7,33,6,1.42,22,18,4,0.21,-0.01,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Calum Chambers,ENG,DF,24,1995,14,1102,79,32.2,12.2,13,81,11,1,45,5,1.29,16,15,1,0.08,-0.19,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Cédric Soares,POR,MF,27,1991,5,249,50,7.3,2.8,3,76,0,2,11,1,1.8,4,2,2,0.72,0.55,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Dani Ceballos,ESP,MF,22,1996,24,1692,71,49.5,18.8,18,80,6,6,42,4,1.75,29,21,8,0.43,0.43,2019,playing_time
ENG-Premier League,2019/20,Arsenal,David Luiz,BRA,DF,32,1987,33,2809,85,82.1,31.2,32,87,30,1,25,3,1.42,47,38,9,0.29,0.44,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Eddie Nketiah,ENG,FW,20,1999,13,633,49,18.5,7.0,7,78,2,6,14,1,1.85,8,8,0,0.0,-0.26,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Emile Smith Rowe,ENG,MF,19,2000,2,97,49,2.8,1.1,1,65,0,1,32,2,0.5,0,0,0,0.0,-0.22,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Emiliano Martínez,ARG,GK,26,1992,9,771,86,22.5,8.6,8,90,8,1,51,29,1.78,16,9,7,0.82,0.78,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Gabriel Martinelli,BRA,MF,18,2001,14,663,47,19.4,7.4,6,90,5,8,16,10,1.21,7,9,-2,-0.27,-0.6,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Granit Xhaka,SUI,MF,26,1992,31,2586,83,75.6,28.7,30,85,25,1,45,0,1.65,47,31,16,0.56,1.42,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Henrikh Mkhitaryan,ARM,MF,30,1989,3,112,37,3.3,1.2,1,83,0,2,15,1,1.33,2,0,2,1.61,1.44,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Héctor Bellerín,ESP,"DF,MF",24,1995,15,1158,77,33.9,12.9,13,88,10,2,9,5,1.47,20,18,2,0.16,-0.08,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Joe Willock,ENG,MF,19,1999,29,857,30,25.1,9.5,8,64,1,21,16,6,1.34,16,16,0,0.0,-0.28,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Kieran Tierney,SCO,"DF,MF",22,1997,15,989,66,28.9,11.0,12,78,6,3,18,4,1.47,18,16,2,0.18,-0.04,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Konstantinos Mavropanos,GRE,DF,21,1997,0,,,,,0,,0,0,,3,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Lucas Torreira,URU,MF,23,1996,29,1512,52,44.2,16.8,17,76,8,12,18,4,1.48,23,23,0,0.0,-0.38,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Matt Macey,ENG,GK,24,1994,0,,,,,0,,0,0,,8,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Matthew Smith,ENG,MF,18,2000,0,,,,,0,,0,0,,3,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Mattéo Guendouzi,FRA,MF,20,1999,24,1748,73,51.1,19.4,19,87,15,5,21,5,1.29,24,31,-7,-0.36,-1.17,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Mesut Özil,GER,MF,30,1988,18,1438,80,42.0,16.0,18,80,7,0,,4,1.33,24,20,4,0.25,0.07,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Nacho Monreal,ESP,DF,33,1986,3,270,90,7.9,3.0,3,90,3,0,,0,2.0,4,4,0,0.0,-0.23,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Nicolas Pépé,CIV,"MF,FW",24,1995,31,2010,65,58.8,22.3,22,81,11,9,25,6,1.55,38,30,8,0.36,0.36,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Pablo Marí,ESP,DF,25,1993,2,113,57,3.3,1.3,2,57,1,0,,0,1.5,1,0,1,0.8,0.61,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Pierre-Emerick Aubameyang,GAB,"FW,MF",30,1989,36,3136,87,91.7,34.8,35,89,31,1,33,0,1.5,51,44,7,0.2,-0.12,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Reiss Nelson,ENG,"MF,FW",19,1999,17,631,37,18.5,7.0,7,69,1,10,15,10,1.71,9,7,2,0.29,0.09,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Rob Holding,ENG,DF,23,1995,8,581,73,17.0,6.5,6,88,5,2,28,10,1.63,11,9,2,0.31,0.12,2019,playing_time
