league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,season_start,stat_type
ENG-Premier League,2019/20,Arsenal,Sead Kolašinac,BIH,DF,26,1993,26,1701,65,49.7,18.9,19,81,14,7,23,3,1.58,28,26,2,0.11,-0.21,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Shkodran Mustafi,GER,DF,27,1992,15,1207,80,35.3,13.4,13,87,12,2,41,3,1.4,21,17,4,0.3,0.14,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Sokratis Papastathopoulos,GRE,DF,31,1988,19,1696,89,49.6,18.8,19,89,18,0,,13,1.53,27,25,2,0.11,-0.21,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Tyreece John-Jules,ENG,"FW,MF",18,2001,0,,,,,0,,0,0,,1,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Arsenal,Zech Medley,ENG,DF,19,2000,0,,,,,0,,0,0,,1,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Ahmed Elmohamady,EGY,DF,31,1987,18,1031,57,30.1,11.5,11,81,9,7,19,14,0.89,11,28,-17,-1.48,-1.14,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Anwar El Ghazi,NED,"FW,MF",24,1995,34,2051,60,60.0,22.8,26,74,9,8,17,3,0.85,26,48,-22,-0.97,-0.7,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Björn Engels,BEL,DF,24,1994,17,1447,85,42.3,16.1,15,89,14,2,57,4,0.65,20,32,-12,-0.75,-0.11,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Borja Bastón,ESP,FW,26,1992,2,18,9,0.5,0.2,0,,0,2,9,3,0.0,0,2,-2,-10.0,-9.37,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Conor Hourihane,IRL,MF,28,1991,27,1534,57,44.9,17.0,18,75,4,9,20,10,1.04,20,29,-9,-0.53,0.28,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Danny Drinkwater,ENG,MF,29,1990,4,259,65,7.6,2.9,4,65,0,0,,3,1.0,2,9,-7,-2.43,-1.89,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Douglas Luiz,BRA,MF,21,1998,36,2612,73,76.4,29.0,28,87,24,8,20,1,0.94,29,51,-22,-0.76,-0.31,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Ezri Konsa,ENG,DF,21,1997,25,2039,82,59.6,22.7,24,84,19,1,16,13,1.08,23,39,-16,-0.71,-0.05,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Frederic Guilbert,FRA,"DF,MF",24,1994,25,2041,82,59.7,22.7,22,88,19,3,35,6,1.04,29,36,-7,-0.31,0.93,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Henri Lansbury,ENG,MF,28,1990,10,195,20,5.7,2.2,2,69,0,8,7,19,1.0,2,6,-4,-1.85,-1.23,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Indiana Vassilev,USA,"FW,MF",18,2001,4,51,13,1.5,0.6,0,,0,4,13,8,1.0,2,1,1,1.76,2.49,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Jack Grealish,ENG,"FW,MF",23,1995,36,3233,90,94.5,35.9,36,90,35,0,,0,0.97,39,63,-24,-0.67,0.29,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,James Chester,WAL,DF,30,1989,0,,,,,0,,0,0,,6,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Jed Steer,ENG,GK,26,1992,1,7,7,0.2,0.1,1,7,0,0,,12,0.0,0,0,0,0.0,0.69,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,John McGinn,SCO,MF,24,1994,28,2312,83,67.6,25.7,27,84,21,1,31,0,0.89,29,41,-12,-0.47,0.67,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Jonathan Kodjia,CIV,FW,29,1989,6,117,20,3.4,1.3,0,,0,6,20,6,0.5,1,6,-5,-3.85,-3.27,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Jota,ESP,"MF,FW",28,1991,10,335,34,9.8,3.7,4,61,0,6,15,11,0.7,1,5,-4,-1.07,-0.43,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Kaine Kesler-Hayden,ENG,"DF,MF",16,2002,0,,,,,0,,0,0,,1,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Keinan Davis,ENG,FW,21,1998,18,548,30,16.0,6.1,4,70,0,14,19,3,0.83,6,7,-1,-0.16,0.62,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Kortney Hause,ENG,DF,24,1995,18,1545,86,45.2,17.2,17,90,17,1,15,2,0.72,14,34,-20,-1.17,-0.88,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Lovre Kalinić,CRO,GK,29,1990,0,,,,,0,,0,0,,1,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Marvelous Nakamba,ZIM,MF,25,1994,29,1836,63,53.7,20.4,19,83,10,10,27,5,0.93,24,37,-13,-0.64,0.1,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Matt Targett,ENG,"DF,MF",23,1995,28,2291,82,67.0,25.5,27,83,22,1,54,2,1.0,30,40,-10,-0.39,0.88,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Mbwana Samatta,TAN,FW,26,1992,14,943,67,27.6,10.5,11,79,5,3,24,0,0.71,7,18,-11,-1.05,-0.5,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Neil Taylor,WAL,DF,30,1989,14,1091,78,31.9,12.1,11,85,10,3,52,13,0.79,11,25,-14,-1.15,-0.69,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Pepe Reina,ESP,GK,36,1982,12,1080,90,31.6,12.0,12,90,12,0,,4,1.0,11,20,-9,-0.75,-0.1,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Tom Heaton,ENG,GK,33,1986,20,1794,90,52.5,19.9,20,90,19,0,,0,1.05,26,35,-9,-0.45,0.49,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Trézéguet,EGY,"FW,MF",24,1994,34,1950,57,57.0,21.7,20,78,5,14,27,3,0.91,22,28,-6,-0.28,0.95,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Tyrone Mings,ENG,DF,26,1993,33,2902,88,84.9,32.2,33,88,32,0,,0,0.97,36,53,-17,-0.53,1.04,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Wesley Moraes,BRA,FW,22,1996,21,1782,85,52.1,19.8,21,85,13,0,,0,1.0,26,31,-5,-0.25,0.9,2019,playing_time
ENG-Premier League,2019/20,Aston Villa,Ørjan Nyland,NOR,GK,28,1990,7,539,77,15.8,6.0,5,90,5,2,45,20,0.71,4,12,-8,-1.34,-0.77,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Aaron Ramsdale,ENG,GK,21,1998,37,3330,90,97.4,37.0,37,90,37,0,,0,0.92,40,62,-22,-0.59,2.41,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Adam Smith,ENG,DF,28,1991,24,2055,86,60.1,22.8,24,86,19,0,,0,0.83,23,40,-17,-0.74,-0.22,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Andrew Surman,ENG,MF,32,1986,5,235,47,6.9,2.6,2,89,1,3,19,24,1.2,2,6,-4,-1.53,-0.94,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Arnaut Danjuma,NED,MF,22,1997,14,630,45,18.4,7.0,6,68,2,8,28,5,0.43,4,12,-8,-1.14,-0.59,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Artur Boruc,POL,GK,39,1980,0,,,,,0,,0,0,,38,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Callum Wilson,ENG,FW,27,1992,35,2908,83,85.0,32.3,32,88,27,3,32,0,0.89,36,53,-17,-0.53,0.88,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Charlie Daniels,ENG,DF,32,1986,2,126,63,3.7,1.4,2,63,1,0,,1,1.5,2,2,0,0.0,0.68,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Chris Mepham,WAL,DF,21,1997,12,912,76,26.7,10.1,10,90,10,2,6,11,0.67,6,19,-13,-1.28,-0.85,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Christian Saydee,LBR,"FW,MF",17,2002,0,,,,,0,,0,0,,1,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Dan Gosling,ENG,MF,29,1990,24,1264,53,37.0,14.0,14,78,7,10,17,3,0.75,10,23,-13,-0.93,-0.42,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,David Brooks,WAL,MF,22,1997,9,506,56,14.8,5.6,8,61,0,1,22,0,0.78,6,12,-6,-1.07,-0.48,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Diego Rico,ESP,DF,26,1993,27,2332,86,68.2,25.9,27,86,23,0,,10,1.07,31,38,-7,-0.27,1.22,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Dominic Solanke,ENG,FW,21,1997,32,1651,52,48.3,18.3,17,81,10,15,18,6,0.78,22,39,-17,-0.93,-0.52,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Gavin Kilkenny,IRL,MF,19,2000,0,,,,,0,,0,0,,4,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Harry Wilson,WAL,"MF,FW",22,1997,31,1646,53,48.1,18.3,20,67,2,11,28,3,0.84,21,32,-11,-0.6,0.11,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Jack Simpson,ENG,DF,22,1996,4,241,60,7.0,2.7,1,90,1,3,50,17,0.25,1,5,-4,-1.49,-0.9,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Jack Stacey,ENG,DF,23,1996,19,1549,82,45.3,17.2,17,89,14,2,21,9,0.84,20,27,-7,-0.41,0.46,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Jefferson Lerma,COL,MF,24,1994,33,2703,82,79.0,30.0,31,85,24,2,30,1,1.0,34,48,-14,-0.47,0.91,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Jordon Ibe,ENG,"FW,MF",23,1995,2,50,25,1.5,0.6,0,,0,2,25,6,0.0,0,1,-1,-1.8,-1.16,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Joshua King,NOR,"FW,MF",27,1992,26,2011,77,58.8,22.3,24,82,13,2,24,0,0.96,23,37,-14,-0.63,0.08,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Junior Stanislas,ENG,"MF,DF",29,1989,15,712,47,20.8,7.9,7,69,1,8,28,4,0.53,9,16,-7,-0.88,-0.29,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Lewis Cook,ENG,MF,22,1997,27,1352,50,39.5,15.0,14,81,8,13,17,7,0.81,18,30,-12,-0.8,-0.23,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Lloyd Kelly,ENG,DF,20,1998,8,639,80,18.7,7.1,7,90,7,1,9,6,0.88,11,15,-4,-0.56,0.12,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Mark Travers,IRL,GK,20,1999,1,90,90,2.6,1.0,1,90,1,0,,1,0.0,0,3,-3,-3.0,-2.41,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Mihai Dobre,ROU,"FW,MF",20,1998,0,,,,,0,,0,0,,2,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Nathan Aké,NED,DF,24,1995,29,2503,86,73.2,27.8,29,86,27,0,,1,0.93,30,47,-17,-0.61,0.17,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Philip Billing,DEN,MF,23,1996,34,2530,74,74.0,28.1,29,82,19,5,30,1,0.97,31,41,-10,-0.36,1.16,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Ryan Fraser,SCO,"MF,FW",25,1994,28,2067,74,60.4,23.0,21,88,19,7,30,0,0.93,22,35,-13,-0.57,0.23,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Sam Surridge,ENG,FW,21,1998,4,27,7,0.8,0.3,0,,0,4,7,8,0.75,0,2,-2,-6.67,-6.06,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Simon Francis,ENG,DF,34,1985,15,969,65,28.3,10.8,10,85,9,5,25,4,0.67,7,21,-14,-1.3,-0.9,2019,playing_time
ENG-Premier League,2019/20,Bournemouth,Steve Cook,ENG,DF,28,1991,29,2428,84,71.0,27.0,28,85,25,1,51,3,0.83,30,47,-17,-0.63,0.1,2019,playing_time
ENG-Premier League,2019/20,Brighton,Aaron Connolly,IRL,FW,19,2000,24,1258,52,36.8,14.0,14,72,0,10,26,4,1.13,18,22,-4,-0.29,0.17,2019,playing_time
ENG-Premier League,2019/20,Brighton,Aaron Mooy,AUS,"MF,FW",28,1990,31,2085,67,61.0,23.2,25,80,14,6,16,5,1.03,19,31,-12,-0.52,-0.32,2019,playing_time
ENG-Premier League,2019/20,Brighton,Adam Webster,ENG,DF,24,1995,31,2668,86,78.0,29.6,31,86,29,0,,5,1.06,29,44,-15,-0.51,-0.51,2019,playing_time
ENG-Premier League,2019/20,Brighton,Alex Cochrane,ENG,"DF,MF",19,2000,0,,,,,0,,0,0,,1,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Brighton,Alexis Mac Allister,ARG,"MF,FW",20,1998,9,352,39,10.3,3.9,4,70,0,5,14,1,1.44,4,6,-2,-0.51,-0.13,2019,playing_time
ENG-Premier League,2019/20,Brighton,Alireza Jahanbakhsh,IRN,"MF,FW",25,1993,10,311,31,9.1,3.5,3,68,0,7,15,9,1.0,4,4,0,0.0,0.43,2019,playing_time
ENG-Premier League,2019/20,Brighton,Bernardo,BRA,"DF,MF",24,1995,14,679,49,19.9,7.5,7,80,4,7,17,9,1.0,6,17,-11,-1.46,-1.33,2019,playing_time
ENG-Premier League,2019/20,Brighton,Dale Stephens,ENG,MF,30,1989,33,2530,77,74.0,28.1,28,88,24,5,11,2,1.12,31,42,-11,-0.39,0.01,2019,playing_time
ENG-Premier League,2019/20,Brighton,Dan Burn,ENG,DF,27,1992,34,2880,85,84.2,32.0,33,87,31,1,13,0,1.15,32,42,-10,-0.31,0.52,2019,playing_time
ENG-Premier League,2019/20,Brighton,David Button,ENG,GK,30,1989,0,,,,,0,,0,0,,38,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Brighton,Davy Pröpper,NED,MF,27,1991,35,2829,81,82.7,31.4,32,86,28,3,23,1,1.09,33,46,-13,-0.41,-0.11,2019,playing_time
ENG-Premier League,2019/20,Brighton,Ezequiel Schelotto,ITA,"DF,MF",30,1989,8,361,45,10.6,4.0,4,75,0,4,16,8,1.33,6,8,-2,-0.5,-0.12,2019,playing_time
ENG-Premier League,2019/20,Brighton,Florin Andone,ROU,FW,26,1993,3,73,24,2.1,0.8,1,29,0,2,22,0,1.33,2,0,2,2.47,2.92,2019,playing_time
ENG-Premier League,2019/20,Brighton,Gaëtan Bong,CMR,DF,31,1988,4,59,15,1.7,0.7,0,,0,4,15,0,1.25,0,3,-3,-4.58,-4.25,2019,playing_time
ENG-Premier League,2019/20,Brighton,Glenn Murray,ENG,FW,35,1983,23,797,35,23.3,8.9,7,75,2,16,17,14,1.09,11,10,1,0.11,0.66,2019,playing_time
ENG-Premier League,2019/20,Brighton,Jürgen Locadia,CUW,MF,25,1993,2,86,43,2.5,1.0,1,63,0,1,23,1,1.5,1,1,0,0.0,0.4,2019,playing_time
ENG-Premier League,2019/20,Brighton,Leandro Trossard,BEL,"MF,FW",24,1994,31,2011,65,58.8,22.3,22,81,10,9,26,3,0.97,22,34,-12,-0.54,-0.35,2019,playing_time
ENG-Premier League,2019/20,Brighton,Leon Balogun,NGA,DF,31,1988,0,,,,,0,,0,0,,4,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Brighton,Lewis Dunk,ENG,DF,27,1991,36,3230,90,94.4,35.9,36,90,35,0,,0,1.14,38,50,-12,-0.33,1.09,2019,playing_time
ENG-Premier League,2019/20,Brighton,Martín Montoya,ESP,"DF,MF",28,1991,27,1896,70,55.4,21.1,23,79,13,4,20,7,1.07,19,32,-13,-0.62,-0.5,2019,playing_time
ENG-Premier League,2019/20,Brighton,Mathew Ryan,AUS,GK,27,1992,38,3420,90,100.0,38.0,38,90,38,0,,0,1.08,39,54,-15,-0.39,,2019,playing_time
ENG-Premier League,2019/20,Brighton,Neal Maupay,FRA,FW,22,1996,37,2766,75,80.9,30.7,30,86,20,7,29,1,1.08,33,36,-3,-0.1,1.55,2019,playing_time
ENG-Premier League,2019/20,Brighton,Pascal Groß,GER,"MF,FW",28,1991,29,1796,62,52.5,20.0,22,76,8,7,19,9,1.07,22,32,-10,-0.5,-0.22,2019,playing_time
ENG-Premier League,2019/20,Brighton,Shane Duffy,IRL,DF,27,1992,19,1238,65,36.2,13.8,12,90,12,7,23,13,1.16,13,18,-5,-0.36,0.05,2019,playing_time
ENG-Premier League,2019/20,Brighton,Solly March,ENG,"MF,FW",25,1994,19,1143,60,33.4,12.7,11,81,3,8,32,6,0.89,15,15,0,0.0,0.59,2019,playing_time
ENG-Premier League,2019/20,Brighton,Steven Alzate,COL,"MF,DF",20,1998,19,1188,63,34.7,13.2,12,90,10,7,16,3,1.11,19,18,1,0.08,0.72,2019,playing_time
ENG-Premier League,2019/20,Brighton,Tariq Lamptey,GHA,"DF,MF",18,2000,8,588,74,17.2,6.5,7,79,3,1,32,1,1.13,5,8,-3,-0.46,-0.08,2019,playing_time
ENG-Premier League,2019/20,Brighton,Tudor Băluță,ROU,"DF,MF",20,1999,0,,,,,0,,0,0,,3,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Brighton,Yves Bissouma,MLI,MF,22,1996,22,1259,57,36.8,14.0,15,76,4,7,17,7,1.05,8,18,-10,-0.71,-0.51,2019,playing_time
ENG-Premier League,2019/20,Burnley,Aaron Lennon,ENG,MF,32,1987,16,496,31,14.5,5.5,4,82,3,12,14,10,1.31,3,15,-12,-2.18,-2.33,2019,playing_time
ENG-Premier League,2019/20,Burnley,Ali Koiki,ENG,"DF,MF",19,1999,0,,,,,0,,0,0,,1,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Burnley,Anthony Driscoll-Glennon,ENG,"DF,MF",19,1999,0,,,,,0,,0,0,,6,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Burnley,Ashley Barnes,ENG,FW,29,1989,19,1352,71,39.5,15.0,17,77,5,2,25,0,1.26,19,21,-2,-0.13,0.08,2019,playing_time
ENG-Premier League,2019/20,Burnley,Ashley Westwood,ENG,MF,29,1990,35,3150,90,92.1,35.0,35,90,35,0,,0,1.54,42,39,3,0.09,3.42,2019,playing_time
ENG-Premier League,2019/20,Burnley,Bailey Peacock-Farrell,NIR,GK,22,1996,0,,,,,0,,0,0,,9,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Burnley,Ben Gibson,ENG,DF,26,1993,0,,,,,0,,0,0,,11,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Burnley,Ben Mee,ENG,DF,29,1989,32,2880,90,84.2,32.0,32,90,32,0,,0,1.41,36,45,-9,-0.28,-0.61,2019,playing_time
ENG-Premier League,2019/20,Burnley,Bobby Thomas,ENG,DF,18,2001,0,,,,,0,,0,0,,4,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Burnley,Charlie Taylor,ENG,DF,25,1993,24,1945,81,56.9,21.6,22,85,20,2,41,6,1.63,24,18,6,0.28,1.07,2019,playing_time
ENG-Premier League,2019/20,Burnley,Chris Wood,NZL,FW,27,1991,32,2437,76,71.3,27.1,29,81,17,3,29,0,1.41,27,33,-6,-0.22,-0.13,2019,playing_time
ENG-Premier League,2019/20,Burnley,Danny Drinkwater,ENG,MF,29,1990,1,58,58,1.7,0.6,1,58,0,0,,8,0.0,0,2,-2,-3.1,-2.97,2019,playing_time
ENG-Premier League,2019/20,Burnley,Dwight McNeil,ENG,MF,19,1999,38,3338,88,97.6,37.1,38,88,31,0,,0,1.42,41,48,-7,-0.19,-0.19,2019,playing_time
ENG-Premier League,2019/20,Burnley,Erik Pieters,NED,"DF,MF",30,1988,24,1878,78,54.9,20.9,21,85,17,3,32,12,1.25,22,35,-13,-0.62,-0.97,2019,playing_time
ENG-Premier League,2019/20,Burnley,Jack Cork,ENG,MF,30,1989,30,2613,87,76.4,29.0,30,87,24,0,,0,1.4,31,41,-10,-0.34,-0.68,2019,playing_time
ENG-Premier League,2019/20,Burnley,James Tarkowski,ENG,DF,26,1992,38,3420,90,100.0,38.0,38,90,38,0,,0,1.42,43,50,-7,-0.18,,2019,playing_time
ENG-Premier League,2019/20,Burnley,Jay Rodriguez,ENG,FW,30,1989,36,2016,56,58.9,22.4,20,83,13,16,22,0,1.42,28,34,-6,-0.27,-0.2,2019,playing_time
ENG-Premier League,2019/20,Burnley,Jeff Hendrick,IRL,MF,27,1992,24,1931,80,56.5,21.5,22,86,16,2,19,4,1.5,25,30,-5,-0.23,-0.11,2019,playing_time
ENG-Premier League,2019/20,Burnley,Jimmy Dunne,IRL,DF,21,1997,0,,,,,0,,0,0,,9,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Burnley,Joe Hart,ENG,GK,32,1987,0,,,,,0,,0,0,,29,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Burnley,Joel Mumbongo,SWE,FW,20,1999,0,,,,,0,,0,0,,2,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Burnley,Josh Benson,ENG,MF,19,1999,0,,,,,0,,0,0,,6,,,,,,,2019,playing_time
ENG-Premier League,2019/20,Burnley,Josh Brownhill,ENG,MF,23,1995,10,805,81,23.5,8.9,9,89,8,1,1,3,1.8,8,10,-2,-0.22,-0.05,2019,playing_time
