league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,season_start,stat_type
ENG-Premier League,2018/19,Arsenal,Aaron Ramsey,WAL,MF,27,1990,28,14,1331,14.8,4,6,10,4,0,0,0,0,0.27,0.41,0.68,0.27,0.68,2018,standard
ENG-Premier League,2018/19,Arsenal,Ainsley Maitland-Niles,ENG,"MF,DF",20,1997,16,11,987,11.0,1,1,2,1,0,0,3,2,0.09,0.09,0.18,0.09,0.18,2018,standard
ENG-Premier League,2018/19,Arsenal,Alex Iwobi,NGA,"MF,FW",22,1996,35,22,1970,21.9,3,6,9,3,0,0,0,0,0.14,0.27,0.41,0.14,0.41,2018,standard
ENG-Premier League,2018/19,Arsenal,Alexandre Lacazette,FRA,FW,27,1991,35,27,2502,27.8,13,8,21,13,0,0,2,0,0.47,0.29,0.76,0.47,0.76,2018,standard
ENG-Premier League,2018/19,Arsenal,Bernd Leno,GER,GK,26,1992,32,31,2836,31.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2018,standard
ENG-Premier League,2018/19,Arsenal,Bukayo Saka,ENG,"FW,MF",16,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2018,standard
ENG-Premier League,2018/19,Arsenal,Carl Jenkinson,ENG,MF,26,1992,3,2,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2018,standard
ENG-Premier League,2018/19,Arsenal,Danny Welbeck,ENG,MF,27,1990,8,1,153,1.7,1,1,2,1,0,0,0,0,0.59,0.59,1.18,0.59,1.18,2018,standard
ENG-Premier League,2018/19,Arsenal,Denis Suárez,ESP,MF,24,1994,4,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2018,standard
ENG-Premier League,2018/19,Arsenal,Eddie Nketiah,ENG,FW,19,1999,5,0,67,0.7,1,0,1,1,0,0,0,0,1.34,0.0,1.34,1.34,1.34,2018,standard
ENG-Premier League,2018/19,Arsenal,Granit Xhaka,SUI,MF,25,1992,29,29,2498,27.8,4,2,6,4,0,0,10,0,0.14,0.07,0.22,0.14,0.22,2018,standard
