league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,season_start,stat_type
ENG-Premier League,2017/18,Arsenal,David Ospina,COL,GK,28,1988,5,4,381,4.2,3,0.71,13,10,76.9,3,0,1,2,50.0,0,0,0,0,,2017,keeper
ENG-Premier League,2017/18,Arsenal,Petr Čech,CZE,GK,35,1982,34,34,3039,33.8,48,1.42,137,89,65.0,16,6,12,11,32.4,6,5,1,0,16.7,2017,keeper
ENG-Premier League,2017/18,Bournemouth,Asmir Begović,BIH,GK,30,1987,38,38,3420,38.0,61,1.61,171,110,64.3,11,11,16,6,15.8,4,2,1,1,33.3,2017,keeper
ENG-Premier League,2017/18,Brighton,Mathew Ryan,AUS,GK,25,1992,38,38,3420,38.0,54,1.42,180,126,70.0,9,13,16,10,26.3,3,1,2,0,66.7,2017,keeper
ENG-Premier League,2017/18,Burnley,Nick Pope,ENG,GK,25,1992,35,34,3115,34.6,35,1.01,150,115,76.7,13,11,11,11,32.4,5,3,1,1,25.0,2017,keeper
ENG-Premier League,2017/18,Burnley,Tom Heaton,ENG,GK,31,1986,4,4,305,3.4,4,1.18,14,10,71.4,1,1,1,0,0.0,0,0,0,0,,2017,keeper
ENG-Premier League,2017/18,Chelsea,Thibaut Courtois,BEL,GK,25,1992,35,35,3150,35.0,34,0.97,108,74,68.5,20,6,9,15,42.9,2,2,0,0,0.0,2017,keeper
ENG-Premier League,2017/18,Chelsea,Willy Caballero,ARG,GK,35,1981,3,3,270,3.0,4,1.33,12,8,66.7,1,1,1,1,33.3,0,0,0,0,,2017,keeper
ENG-Premier League,2017/18,Crystal Palace,Julián Speroni,ARG,GK,38,1979,11,11,990,11.0,14,1.27,42,28,66.7,3,5,3,2,18.2,1,1,0,0,0.0,2017,keeper
ENG-Premier League,2017/18,Crystal Palace,Wayne Hennessey,WAL,GK,30,1987,27,27,2430,27.0,41,1.52,132,91,68.9,8,6,13,7,25.9,1,1,0,0,0.0,2017,keeper
ENG-Premier League,2017/18,Everton,Jordan Pickford,ENG,GK,23,1994,38,38,3420,38.0,58,1.53,183,125,68.3,13,10,15,10,26.3,5,3,1,1,25.0,2017,keeper
ENG-Premier League,2017/18,Huddersfield,Jonas Lössl,DEN,GK,28,1989,38,38,3420,38.0,57,1.5,164,107,65.2,9,10,19,10,26.3,6,4,2,0,33.3,2017,keeper
ENG-Premier League,2017/18,Leicester City,Ben Hamer,ENG,GK,29,1987,4,3,275,3.1,7,2.29,14,7,50.0,0,1,2,1,33.3,1,1,0,0,0.0,2017,keeper
ENG-Premier League,2017/18,Leicester City,Eldin Jakupović,SUI,GK,32,1984,2,2,180,2.0,6,3.0,5,,-20.0,1,0,1,0,0.0,0,0,0,0,,2017,keeper
ENG-Premier League,2017/18,Leicester City,Kasper Schmeichel,DEN,GK,30,1986,33,33,2965,32.9,47,1.43,141,94,66.7,11,10,12,8,24.2,3,1,2,0,66.7,2017,keeper
ENG-Premier League,2017/18,Liverpool,Loris Karius,GER,GK,24,1993,19,19,1710,19.0,14,0.74,45,31,68.9,11,5,3,10,52.6,3,2,1,0,33.3,2017,keeper
ENG-Premier League,2017/18,Liverpool,Simon Mignolet,BEL,GK,29,1988,19,19,1710,19.0,24,1.26,61,37,60.7,10,7,2,7,36.8,3,2,1,0,33.3,2017,keeper
ENG-Premier League,2017/18,Manchester City,Claudio Bravo,CHI,GK,34,1983,3,2,226,2.5,1,0.4,6,5,83.3,2,0,0,1,50.0,0,0,0,0,,2017,keeper
ENG-Premier League,2017/18,Manchester City,Ederson Moraes,BRA,GK,23,1993,36,36,3194,35.5,26,0.73,78,52,66.7,30,4,2,16,44.4,3,0,2,1,100.0,2017,keeper
ENG-Premier League,2017/18,Manchester Utd,David de Gea,ESP,GK,26,1990,37,37,3330,37.0,28,0.76,144,116,80.6,24,6,7,18,48.6,1,1,0,0,0.0,2017,keeper
ENG-Premier League,2017/18,Manchester Utd,Sergio Romero,ARG,GK,30,1987,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,2017,keeper
ENG-Premier League,2017/18,Newcastle,Karl Darlow,WAL,GK,26,1990,10,10,900,10.0,15,1.5,51,36,70.6,1,5,4,2,20.0,3,3,0,0,0.0,2017,keeper
ENG-Premier League,2017/18,Newcastle,Martin Dúbravka,SVK,GK,28,1989,12,12,1080,12.0,11,0.92,40,29,72.5,6,1,5,4,33.3,1,0,1,0,100.0,2017,keeper
ENG-Premier League,2017/18,Newcastle,Rob Elliot,IRL,GK,31,1986,16,16,1440,16.0,21,1.31,66,45,68.2,5,2,9,3,18.8,2,1,1,0,50.0,2017,keeper
ENG-Premier League,2017/18,Southampton,Alex McCarthy,ENG,GK,27,1989,18,18,1620,18.0,26,1.44,66,40,60.6,3,8,7,4,22.2,1,1,0,0,0.0,2017,keeper
ENG-Premier League,2017/18,Southampton,Fraser Forster,ENG,GK,29,1988,20,20,1800,20.0,30,1.5,101,71,70.3,4,7,9,4,20.0,1,0,1,0,100.0,2017,keeper
ENG-Premier League,2017/18,Stoke City,Jack Butland,ENG,GK,24,1993,35,35,3150,35.0,61,1.74,205,144,70.2,7,11,17,6,17.1,5,5,0,0,0.0,2017,keeper
ENG-Premier League,2017/18,Stoke City,Lee Grant,ENG,GK,34,1983,3,3,270,3.0,7,2.33,14,7,50.0,0,1,2,1,33.3,0,0,0,0,,2017,keeper
ENG-Premier League,2017/18,Swansea City,Łukasz Fabiański,POL,GK,32,1985,38,38,3420,38.0,56,1.47,191,135,70.7,8,9,21,9,23.7,7,3,3,1,50.0,2017,keeper
ENG-Premier League,2017/18,Tottenham,Hugo Lloris,FRA,GK,30,1986,36,36,3240,36.0,35,0.97,117,82,70.1,22,7,7,15,41.7,3,2,1,0,33.3,2017,keeper
ENG-Premier League,2017/18,Tottenham,Michel Vorm,NED,GK,33,1983,1,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,2017,keeper
ENG-Premier League,2017/18,Tottenham,Paulo Gazzaniga,ARG,GK,25,1992,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,2017,keeper
ENG-Premier League,2017/18,Watford,Heurelho Gomes,BRA,GK,36,1981,24,24,2128,23.6,40,1.69,103,63,61.2,7,5,12,5,20.8,3,3,0,0,0.0,2017,keeper
ENG-Premier League,2017/18,Watford,Orestis Karnezis,GRE,GK,32,1985,15,14,1292,14.4,24,1.67,55,31,56.4,4,3,7,4,28.6,3,3,0,0,0.0,2017,keeper
ENG-Premier League,2017/18,West Brom,Ben Foster,ENG,GK,34,1983,37,37,3330,37.0,55,1.49,153,98,64.1,6,12,19,10,27.0,1,1,0,0,0.0,2017,keeper
ENG-Premier League,2017/18,West Brom,Boaz Myhill,WAL,GK,34,1982,1,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,2017,keeper
