league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,season_start,stat_type
ENG-Premier League,2020/21,Arsenal,Ainsley Maitland-Niles,ENG,"MF,DF",22,1997,5.4,0,2,1,50.0,0.37,0.18,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Alexandre Lacazette,FRA,FW,29,1991,21.4,13,45,29,64.4,2.11,1.36,0.29,0.45,3,3,2020,shooting
ENG-Premier League,2020/21,Arsenal,Bernd Leno,GER,GK,28,1992,34.8,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Bukayo Saka,ENG,MF,18,2001,28.4,5,61,20,32.8,2.15,0.71,0.08,0.25,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Calum Chambers,ENG,DF,25,1995,8.4,0,8,0,0.0,0.96,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Cédric Soares,POR,DF,28,1991,8.3,0,7,2,28.6,0.84,0.24,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Dani Ceballos,ESP,MF,23,1996,17.9,0,13,2,15.4,0.72,0.11,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,David Luiz,BRA,DF,33,1987,15.5,1,15,2,13.3,0.97,0.13,0.07,0.5,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Eddie Nketiah,ENG,FW,21,1999,4.7,2,12,5,41.7,2.55,1.06,0.17,0.4,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Emile Smith Rowe,ENG,MF,20,2000,16.0,2,13,6,46.2,0.81,0.37,0.15,0.33,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Gabriel Magalhães,BRA,DF,22,1997,22.2,2,16,4,25.0,0.72,0.18,0.13,0.5,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Gabriel Martinelli,BRA,"MF,FW",19,2001,6.5,2,20,8,40.0,3.06,1.22,0.1,0.25,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Granit Xhaka,SUI,"MF,DF",27,1992,28.0,1,21,7,33.3,0.75,0.25,0.05,0.14,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Héctor Bellerín,ESP,"DF,MF",25,1995,23.2,1,15,5,33.3,0.65,0.22,0.07,0.2,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Joe Willock,ENG,MF,20,1999,2.6,0,4,1,25.0,1.51,0.38,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Kieran Tierney,SCO,DF,23,1997,25.5,1,15,3,20.0,0.59,0.12,0.07,0.33,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Martin Ødegaard,NOR,MF,21,1998,9.6,1,15,3,20.0,1.56,0.31,0.07,0.33,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Mathew Ryan,AUS,GK,28,1992,3.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Mohamed Elneny,EGY,MF,28,1992,17.2,1,9,3,33.3,0.52,0.17,0.11,0.33,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Nicolas Pépé,CIV,"MF,FW",25,1995,18.0,10,48,21,43.8,2.67,1.17,0.21,0.48,1,1,2020,shooting
ENG-Premier League,2020/21,Arsenal,Pablo Marí,ESP,DF,26,1993,10.0,0,2,0,0.0,0.2,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Pierre-Emerick Aubameyang,GAB,"FW,MF",31,1989,25.9,10,57,22,38.6,2.2,0.85,0.18,0.45,2,2,2020,shooting
ENG-Premier League,2020/21,Arsenal,Reiss Nelson,ENG,"FW,MF",20,1999,0.8,0,1,0,0.0,1.27,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Rob Holding,ENG,DF,24,1995,28.4,0,14,3,21.4,0.49,0.11,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Rúnar Alex Rúnarsson,ISL,GK,25,1995,0.2,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Sead Kolašinac,BIH,DF,27,1993,1.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Shkodran Mustafi,GER,DF,28,1992,0.5,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Thomas Partey,GHA,MF,27,1993,17.0,0,26,4,15.4,1.53,0.23,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Arsenal,Willian,BRA,"MF,FW",31,1988,15.6,1,20,3,15.0,1.28,0.19,0.05,0.33,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Ahmed Elmohamady,EGY,DF,32,1987,9.3,0,9,1,11.1,0.97,0.11,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Anwar El Ghazi,NED,"MF,FW",25,1995,17.9,10,64,30,46.9,3.57,1.67,0.16,0.33,4,4,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Bertrand Traoré,BFA,"MF,FW",24,1995,25.7,7,64,24,37.5,2.49,0.93,0.11,0.29,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Carney Chukwuemeka,AUT,MF,16,2003,0.2,0,1,0,0.0,4.5,0.0,0.0,,0,0,2020,shooting
