league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,season_start,stat_type
ENG-Premier League,2020/21,Aston Villa,Conor Hourihane,IRL,MF,29,1991,2.5,1,5,2,40.0,2.0,0.8,0.2,0.5,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Douglas Luiz,BRA,MF,22,1998,30.9,0,26,8,30.8,0.84,0.26,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Emiliano Martínez,ARG,GK,27,1992,38.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Ezri Konsa,ENG,DF,22,1997,35.5,2,23,8,34.8,0.65,0.23,0.09,0.25,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Jack Grealish,ENG,"MF,FW",24,1995,24.3,6,50,19,38.0,2.06,0.78,0.12,0.32,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Jacob Ramsey,ENG,MF,19,2001,7.0,0,11,1,9.1,1.58,0.14,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",18,2002,0.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,John McGinn,SCO,MF,25,1994,37.0,3,46,12,26.1,1.24,0.32,0.07,0.25,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Keinan Davis,ENG,FW,22,1998,3.1,1,9,2,22.2,2.92,0.65,0.11,0.5,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Kortney Hause,ENG,DF,25,1995,7.0,1,5,2,40.0,0.71,0.29,0.2,0.5,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Marvelous Nakamba,ZIM,MF,26,1994,8.3,0,2,1,50.0,0.24,0.12,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Matt Targett,ENG,DF,24,1995,37.8,0,6,2,33.3,0.16,0.05,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Matty Cash,POL,DF,22,1997,26.4,0,9,2,22.2,0.34,0.08,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Morgan Sanson,FRA,MF,25,1994,3.3,0,2,0,0.0,0.61,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Neil Taylor,WAL,"DF,MF",31,1989,0.2,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Ollie Watkins,ENG,FW,24,1995,37.0,14,98,47,48.0,2.65,1.27,0.14,0.3,1,2,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Ross Barkley,ENG,MF,26,1993,17.0,3,38,11,28.9,2.23,0.65,0.08,0.27,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Trézéguet,EGY,"MF,FW",25,1994,13.0,2,35,12,34.3,2.7,0.93,0.06,0.17,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Tyrone Mings,ENG,DF,27,1993,35.5,2,19,7,36.8,0.54,0.2,0.11,0.29,0,0,2020,shooting
ENG-Premier League,2020/21,Aston Villa,Wesley Moraes,BRA,FW,23,1996,0.2,0,1,1,100.0,5.0,5.0,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Aaron Connolly,IRL,"FW,MF",20,2000,8.8,2,23,9,39.1,2.62,1.02,0.09,0.22,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Adam Lallana,ENG,"MF,FW",32,1988,17.7,1,22,5,22.7,1.24,0.28,0.05,0.2,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Adam Webster,ENG,DF,25,1995,28.8,1,25,7,28.0,0.87,0.24,0.04,0.14,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Alexis Mac Allister,ARG,"MF,FW",21,1998,12.4,1,24,3,12.5,1.94,0.24,0.04,0.33,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Alireza Jahanbakhsh,IRN,"MF,FW",26,1993,5.9,0,18,3,16.7,3.07,0.51,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Andi Zeqiri,SUI,FW,21,1999,1.9,0,7,2,28.6,3.68,1.05,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Ben White,ENG,"DF,MF",22,1997,35.5,0,10,1,10.0,0.28,0.03,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Bernardo,BRA,MF,25,1995,2.3,0,4,0,0.0,1.75,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Dan Burn,ENG,"DF,MF",28,1992,22.9,1,17,6,35.3,0.74,0.26,0.06,0.17,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Danny Welbeck,ENG,FW,29,1990,17.2,6,35,15,42.9,2.04,0.87,0.17,0.4,0,1,2020,shooting
ENG-Premier League,2020/21,Brighton,Davy Pröpper,NED,MF,28,1991,2.4,0,4,2,50.0,1.69,0.85,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Jakub Moder,POL,MF,21,1999,7.2,0,13,3,23.1,1.81,0.42,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Jayson Molumby,IRL,MF,20,1999,0.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,José Izquierdo,COL,"FW,MF",28,1992,0.1,0,1,1,100.0,10.0,10.0,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Joël Veltman,NED,"DF,MF",28,1992,25.3,1,14,4,28.6,0.55,0.16,0.07,0.25,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Leandro Trossard,BEL,"MF,FW",25,1994,29.0,5,58,23,39.7,2.0,0.79,0.09,0.22,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Lewis Dunk,ENG,DF,28,1991,32.6,5,32,15,46.9,0.98,0.46,0.16,0.33,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Mathew Ryan,AUS,GK,28,1992,11.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Neal Maupay,FRA,"FW,MF",23,1996,27.9,8,71,26,36.6,2.54,0.93,0.11,0.31,3,4,2020,shooting
ENG-Premier League,2020/21,Brighton,Pascal Groß,GER,MF,29,1991,27.6,3,32,7,21.9,1.16,0.25,0.09,0.43,3,4,2020,shooting
ENG-Premier League,2020/21,Brighton,Percy Tau,RSA,MF,26,1994,1.1,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Reda Khadra,GER,"FW,MF",19,2001,0.1,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Robert Sánchez,ESP,GK,22,1997,27.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Solly March,ENG,MF,26,1994,18.6,2,22,4,18.2,1.18,0.22,0.09,0.5,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Steven Alzate,COL,MF,21,1998,10.0,1,7,2,28.6,0.7,0.2,0.14,0.5,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Tariq Lamptey,GHA,MF,19,2000,9.8,1,6,2,33.3,0.61,0.2,0.17,0.5,0,0,2020,shooting
ENG-Premier League,2020/21,Brighton,Yves Bissouma,MLI,MF,23,1996,34.6,1,42,3,7.1,1.22,0.09,0.02,0.33,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Ashley Barnes,ENG,FW,30,1989,14.8,3,39,13,33.3,2.64,0.88,0.08,0.23,1,1,2020,shooting
ENG-Premier League,2020/21,Burnley,Ashley Westwood,ENG,MF,30,1990,37.9,3,20,7,35.0,0.53,0.18,0.15,0.43,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Bailey Peacock-Farrell,NIR,GK,23,1996,4.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Ben Mee,ENG,DF,30,1989,29.9,2,23,7,30.4,0.77,0.23,0.09,0.29,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Charlie Taylor,ENG,DF,26,1993,27.0,0,3,2,66.7,0.11,0.07,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Chris Wood,NZL,FW,28,1991,30.5,12,70,40,57.1,2.3,1.31,0.17,0.3,2,2,2020,shooting
ENG-Premier League,2020/21,Burnley,Dale Stephens,ENG,MF,31,1989,2.9,0,3,1,33.3,1.03,0.34,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Dwight McNeil,ENG,MF,20,1999,34.1,2,26,10,38.5,0.76,0.29,0.08,0.2,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Erik Pieters,NED,"DF,MF",31,1988,14.1,0,4,3,75.0,0.28,0.21,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Jack Cork,ENG,MF,31,1989,15.0,0,5,0,0.0,0.33,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,James Tarkowski,ENG,DF,27,1992,36.0,1,23,7,30.4,0.64,0.19,0.04,0.14,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Jay Rodriguez,ENG,"FW,MF",31,1989,14.1,1,31,10,32.3,2.21,0.71,0.03,0.1,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Jimmy Dunne,IRL,DF,22,1997,3.0,1,7,1,14.3,2.33,0.33,0.14,1.0,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Joel Mumbongo,SWE,FW,21,1999,0.4,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Josh Benson,ENG,MF,20,1999,2.9,0,2,0,0.0,0.68,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Josh Brownhill,ENG,MF,24,1995,31.3,0,34,7,20.6,1.09,0.22,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Jóhann Berg Guðmundsson,ISL,MF,29,1990,15.1,2,19,8,42.1,1.25,0.53,0.11,0.25,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Kevin Long,IRL,DF,29,1990,7.1,0,2,0,0.0,0.28,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Lewis Richardson,ENG,"FW,MF",17,2003,0.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Matthew Lowton,ENG,DF,31,1989,34.0,1,21,4,19.0,0.62,0.12,0.05,0.25,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Matěj Vydra,CZE,FW,28,1992,15.2,3,35,10,28.6,2.3,0.66,0.09,0.3,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Nick Pope,ENG,GK,28,1992,32.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Phil Bardsley,SCO,DF,35,1985,3.0,0,3,0,0.0,0.99,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Robbie Brady,IRL,MF,28,1992,11.7,1,16,5,31.3,1.37,0.43,0.06,0.2,0,0,2020,shooting
ENG-Premier League,2020/21,Burnley,Will Norris,ENG,GK,26,1993,2.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Andreas Christensen,DEN,DF,24,1996,15.2,0,3,0,0.0,0.2,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Antonio Rüdiger,GER,DF,27,1993,19.0,1,14,7,50.0,0.74,0.37,0.07,0.14,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Ben Chilwell,ENG,"DF,MF",23,1996,25.4,3,27,10,37.0,1.06,0.39,0.11,0.3,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Billy Gilmour,SCO,MF,19,2001,2.9,0,1,0,0.0,0.34,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Callum Hudson-Odoi,ENG,"MF,FW",19,2000,11.8,2,23,7,30.4,1.95,0.59,0.09,0.29,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Christian Pulisic,USA,"MF,FW",21,1998,19.3,4,43,16,37.2,2.23,0.83,0.09,0.25,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,César Azpilicueta,ESP,"DF,MF",30,1989,24.3,1,11,4,36.4,0.45,0.16,0.09,0.25,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Emerson Palmieri,ITA,"DF,MF",25,1994,1.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Fikayo Tomori,ENG,DF,22,1997,0.5,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Hakim Ziyech,MAR,"FW,MF",27,1993,13.0,2,35,13,37.1,2.69,1.0,0.06,0.15,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Jorginho,ITA,MF,28,1991,22.3,7,14,9,64.3,0.63,0.4,0.5,0.78,7,9,2020,shooting
ENG-Premier League,2020/21,Chelsea,Kai Havertz,GER,"MF,FW",21,1999,16.9,4,35,17,48.6,2.07,1.01,0.11,0.24,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Kepa Arrizabalaga,ESP,GK,25,1994,6.5,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Kurt Zouma,FRA,DF,25,1994,22.5,5,27,12,44.4,1.2,0.53,0.19,0.42,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Marcos Alonso,ESP,"MF,DF",29,1990,10.7,2,22,10,45.5,2.06,0.94,0.09,0.2,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Mason Mount,ENG,MF,21,1999,32.1,6,82,27,32.9,2.55,0.84,0.07,0.22,1,1,2020,shooting
ENG-Premier League,2020/21,Chelsea,Mateo Kovačić,CRO,MF,26,1994,20.2,0,23,4,17.4,1.14,0.2,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,N'Golo Kanté,FRA,MF,29,1991,23.8,0,10,3,30.0,0.42,0.13,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Olivier Giroud,FRA,FW,33,1986,8.3,4,29,10,34.5,3.49,1.2,0.14,0.4,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Reece James,ENG,"DF,MF",20,1999,26.4,1,36,12,33.3,1.37,0.46,0.03,0.08,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Ross Barkley,ENG,MF,26,1993,0.5,0,1,1,100.0,2.14,2.14,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Ruben Loftus-Cheek,ENG,FW,24,1996,0.7,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Tammy Abraham,ENG,FW,22,1997,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Thiago Silva,BRA,DF,35,1984,21.5,2,13,4,30.8,0.6,0.19,0.15,0.5,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Timo Werner,GER,"FW,MF",24,1996,28.9,6,80,32,40.0,2.77,1.11,0.08,0.19,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Willy Caballero,ARG,GK,38,1981,1.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Chelsea,Édouard Mendy,SEN,GK,28,1992,30.5,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Andros Townsend,ENG,"MF,FW",29,1991,25.1,1,36,11,30.6,1.43,0.44,0.03,0.09,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Cheikhou Kouyaté,SEN,DF,30,1989,34.7,1,7,3,42.9,0.2,0.09,0.14,0.33,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Christian Benteke,BEL,FW,29,1990,20.2,10,71,33,46.5,3.52,1.64,0.14,0.3,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Eberechi Eze,ENG,MF,22,1998,28.4,4,37,13,35.1,1.3,0.46,0.11,0.31,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Gary Cahill,ENG,DF,34,1985,20.0,1,12,3,25.0,0.6,0.15,0.08,0.33,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Jack Butland,ENG,GK,27,1993,1.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,James McArthur,SCO,MF,32,1987,16.3,0,6,0,0.0,0.37,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,James McCarthy,IRL,MF,29,1990,9.1,0,1,0,0.0,0.11,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,James Tomkins,ENG,DF,31,1989,6.1,0,2,1,50.0,0.33,0.16,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Jaïro Riedewald,NED,MF,23,1996,20.2,2,8,2,25.0,0.4,0.1,0.25,1.0,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Jean-Philippe Mateta,FRA,FW,23,1997,2.5,1,4,2,50.0,1.63,0.81,0.25,0.5,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Jeffrey Schlupp,GHA,MF,27,1992,15.9,2,18,10,55.6,1.13,0.63,0.11,0.2,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Joel Ward,ENG,DF,30,1989,25.1,0,2,1,50.0,0.08,0.04,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Jordan Ayew,GHA,"FW,MF",28,1991,23.3,1,26,11,42.3,1.12,0.47,0.04,0.09,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Luka Milivojević,SRB,MF,29,1991,26.2,1,19,7,36.8,0.72,0.27,0.05,0.14,1,2,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Mamadou Sakho,FRA,DF,30,1990,3.1,0,1,0,0.0,0.33,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Martin Kelly,ENG,"DF,MF",30,1990,0.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Michy Batshuayi,BEL,FW,26,1993,8.1,2,12,6,50.0,1.48,0.74,0.17,0.33,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Nathaniel Clyne,ENG,DF,29,1991,12.7,0,4,1,25.0,0.31,0.08,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Patrick van Aanholt,NED,DF,29,1990,19.7,0,18,5,27.8,0.91,0.25,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Scott Dann,ENG,DF,33,1987,15.0,1,5,1,20.0,0.33,0.07,0.2,1.0,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Tyrick Mitchell,ENG,DF,20,1999,19.0,1,2,2,100.0,0.11,0.11,0.5,0.5,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Vicente Guaita,ESP,GK,33,1987,37.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Crystal Palace,Wilfried Zaha,CIV,FW,27,1992,29.0,11,60,20,33.3,2.07,0.69,0.18,0.55,2,2,2020,shooting
ENG-Premier League,2020/21,Everton,Abdoulaye Doucouré,MLI,MF,27,1993,27.1,2,18,5,27.8,0.66,0.18,0.11,0.4,0,0,2020,shooting
ENG-Premier League,2020/21,Everton,Alex Iwobi,NGA,"MF,FW",24,1996,17.1,1,16,3,18.8,0.93,0.18,0.06,0.33,0,0,2020,shooting
ENG-Premier League,2020/21,Everton,Allan,BRA,MF,29,1991,22.8,0,7,2,28.6,0.31,0.09,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Everton,André Gomes,POR,MF,27,1993,17.4,0,14,3,21.4,0.8,0.17,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Everton,Anthony Gordon,ENG,MF,19,2001,1.0,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Everton,Ben Godfrey,ENG,DF,22,1998,29.8,0,14,2,14.3,0.47,0.07,0.0,0.0,0,0,2020,shooting
ENG-Premier League,2020/21,Everton,Bernard,BRA,"MF,FW",27,1992,5.1,1,6,2,33.3,1.19,0.4,0.17,0.5,0,0,2020,shooting
ENG-Premier League,2020/21,Everton,Cenk Tosun,TUR,"FW,MF",29,1991,0.5,0,0,0,,0.0,0.0,,,0,0,2020,shooting
ENG-Premier League,2020/21,Everton,Dominic Calvert-Lewin,ENG,FW,23,1997,31.9,16,83,47,56.6,2.6,1.47,0.19,0.34,0,0,2020,shooting
ENG-Premier League,2020/21,Everton,Fabian Delph,ENG,MF,30,1989,3.0,0,1,0,0.0,0.34,0.0,0.0,,0,0,2020,shooting
ENG-Premier League,2020/21,Everton,Gylfi Sigurðsson,ISL,"MF,FW",30,1989,25.0,6,49,17,34.7,1.96,0.68,0.12,0.35,3,4,2020,shooting
ENG-Premier League,2020/21,Everton,James Rodríguez,COL,"FW,MF",29,1991,19.6,6,37,18,48.6,1.89,0.92,0.16,0.33,0,0,2020,shooting
ENG-Premier League,2020/21,Everton,Jean-Philippe Gbamin,CIV,"DF,MF",24,1995,0.1,0,0,0,,0.0,0.0,,,0,0,2020,shooting
